conversation_id,customer_tweet_id,customer_author_id,customer_text,customer_created_at,support_tweet_id,support_text,support_created_at,turn_count,is_short,is_closure,is_dm_request,is_link_heavy,is_generic_response,theme_id,candidate_theme
1925170,1925170,573022,"@AppleSupport so I got my preorder in, but the website now says my order number and info are invalid, and I never got the email receipt…",Fri Oct 27 07:26:27 +0000 2017,1925169,@573022 Thank you for reaching out to us. Sometimes the receipt can automatically go into a junk or spam folder. Did you check there? https://t.co/GDrqU22YpT,Fri Oct 27 14:08:33 +0000 2017,2,False,False,False,False,False,0,applesupport | just | thanks | applesupport applesupport | thank
2726906,2726906,341723,"@AppleSupport Hey team! Having an issue sending a Home invitation to someone. Home app says Invitation Pending, but person hasn’t received it at any of their email addresses we’ve tried (3 total, including their iCloud address).",Mon Nov 20 05:19:10 +0000 2017,2726905,@341723 Happy to help with this. What type of device does the other person have? Are all devices using the latest vresion of iOS 11?,Mon Nov 20 13:47:34 +0000 2017,2,False,False,False,False,False,0,applesupport | just | thanks | applesupport applesupport | thank
1899975,1899975,566217,@AppleSupport is there an issue with maps right now? Like an outage?,Mon Oct 23 22:09:25 +0000 2017,1899974,"@566217 There doesn't appear to be an outage; you can view that here: https://t.co/7NVrDoNt4G

DM to let us know the issue; we'll help. https://t.co/GDrqU2kzhr",Mon Oct 23 22:13:27 +0000 2017,2,False,False,True,False,False,0,applesupport | just | thanks | applesupport applesupport | thank
1407867,"1407867,1407866,1407868",447246,"@AppleSupport it has been 2 hours but nothing happening. I’m unable to login. And I’ve restored os using command+R &gt;restore Mac(High Sierra) https://t.co/hTaXXy7ugP | @AppleSupport MacBook Pro (model no : MD101HNA) | @AppleSupport I’m able to run windows 10 in boot camp, but when trying to open in mas os, it’s stucking on starting up as shown in the tweeted image 😟",Mon Oct 16 16:55:42 +0000 2017,"1407865,1407869",@447246 We’re here to help. Would you please tell us which MacBook model you are using? | @447246 Let’s team up in DM and we’ll do our best to assist you. https://t.co/GDrqU22YpT,Mon Oct 16 17:06:00 +0000 2017,5,False,False,True,False,False,0,applesupport | just | thanks | applesupport applesupport | thank
1033262,"1033262,1033261,1033264",364465,"@AppleSupport what’s ap notification is not working.i have to open what’s ap for msg and calls.pls advise | @AppleSupport Thanks.i noticed it is happening to another app as well.reinstalled and checked ,but result is the same | @AppleSupport Yes updated the latest version.but still the same",Sat Oct 14 17:49:38 +0000 2017,"1033260,1033263,1033265","@364465 We'll be glad to help! Does this only occur with WhatsApp?
 If so, follow these steps: https://t.co/3WF5Z1DBGa | @364465 Have you updated to iOS 11.0.3? Please send us a DM and let us know. https://t.co/GDrqU22YpT | @364465 Tap Settings &gt; Do Not Disturb. Is this on? Send your response in a DM. https://t.co/GDrqU22YpT",Sat Oct 14 18:20:00 +0000 2017,6,False,False,True,False,False,0,applesupport | just | thanks | applesupport applesupport | thank
450403,"450403,450401,450402",133516,"Hey @AppleSupport, I can't get the ""Add Image to Photos"" option in the right click menu to work in Safari on 10.13.1 anymore... This just started a couple days ago. Suspect a bug in Safari, but not sure. What do you suggest? | @AppleSupport Yes, the option is still there. When I click it, nothing happens, whereas before it would import the photo into the Photos app just as it normally would. | @AppleSupport Update: I just restarted into Recovery and ran first aid on my SSD. Restarted into OS, and it now works. Don’t know what the deal was. 🤷🏼‍♂️",Thu Nov 30 21:20:29 +0000 2017,"450400,450404","@133516 We’d like to figure out why this is happening too. Do you see the option to download the images from Safari? Do you have any options to save or share the photo? | @133516 We're glad you've got it working! If you come across this again, reach out and we'll dig into this with you. Have a great day!",Thu Nov 30 21:27:00 +0000 2017,5,False,False,False,False,False,0,applesupport | just | thanks | applesupport applesupport | thank
1199490,1199490,396323,I️  ⬅️ fixed this glitch  @AppleSupport,Sun Nov 05 03:47:00 +0000 2017,1199489,"@396323 We're here to help. Send us a DM with which device and iOS version you're using, and we'll get started. https://t.co/GDrqU22YpT",Sun Nov 05 13:18:24 +0000 2017,2,False,False,True,False,False,0,applesupport | just | thanks | applesupport applesupport | thank
2253518,2253518,235373,"@AppleSupport Hey there, I bought @118062's #Reputation album on iTunes but didn't receive a boost code. Do you know anything about that? (cc: @121574)",Sat Nov 11 03:18:32 +0000 2017,2253517,@235373 We'd like to help find the best solution. Let's have you reach out to our iTunes support.  https://t.co/SDIe7UiyJN DM us if you have any other questions or concerns. https://t.co/GDrqU22YpT,Sat Nov 11 04:16:26 +0000 2017,2,False,False,True,False,False,0,applesupport | just | thanks | applesupport applesupport | thank
211305,"211305,211303,211302",166053,"Hey @AppleSupport is it supposed to do that? https://t.co/wcZkVFdnDe | @AppleSupport Thanks! iPad Air 2 (MGWL2X/A), 11.0.1 (15A402) | @AppleSupport Cool! On it. Thanks!",Wed Oct 04 17:26:33 +0000 2017,"211304,211301","@166053 We'd be happy to look into this. To start, can you let us know which device and software version you're using? | @166053 Great, thanks! At this time, we'd like to have you backup and update to iOS 11.0.2 and let us know if that helps with the issue.",Wed Oct 04 18:04:00 +0000 2017,5,False,False,False,False,False,0,applesupport | just | thanks | applesupport applesupport | thank
208139,"208138,208139",165236,@AppleSupport Ok. I will | @AppleSupport .... the 17 hour window was suppose to be over around 1pm today. So I’m wondering why the additional 1 day????,Thu Oct 05 00:47:30 +0000 2017,208137,"@165236 We'd be happy to look into this with you. To start, reach out to us in DM and we'll continue from there. https://t.co/GDrqU22YpT",Thu Oct 05 00:42:28 +0000 2017,3,False,False,True,False,False,0,applesupport | just | thanks | applesupport applesupport | thank
